42,male,28.88,30,regular,2,2,13,5.27,"[0,3.43,4.47,9.74,12.83,15.45,16.99,18.17,20.82,22.57,23.91,25.92,28.88]"
43,male,10.52,21,regular,2,2,6,2.68,"[0,2.01,4.26,5.92,8.6,10.52]"
44,male,23.17,10,regular,2,2,14,4.51,"[0,0.92,3.4,4.4,7.01,8.87,11.6,12.19,12.83,13.59,14.1,16.79,21.3,23.17]"
45,female,16.03,11,regular,2,2,5,5.22,"[0,5.22,8.76,12.13,16.03]"
46,female,58.28,11,regular,3,3,25,6.03,"[0,2.2,4.59,8.19,10.44,14.38,16.06,19.51,20.8,22.89,24.06,24.52,26.35,30.17,31.86,33.89,35.96,37.56,38.72,41.86,47.89,49.78,52.45,54.3,58.28]"
47,female,72.10,11,regular,3,4,27,14.16,"[0,2.93,4.24,5.11,19.27,20.9,21.78,22.95,23.95,26.14,28.05,31.1,36.37,40.04,43.29,45.55,47.23,48.41,49.16,54.95,58.08,61.58,63.97,65.65,67.19,69.55,72.1]"
48,female,72.10,11,regular,3,4,27,14.16,"[0,2.93,4.24,5.11,19.27,20.9,21.78,22.95,23.95,26.14,28.05,31.1,36.37,40.04,43.29,45.55,47.23,48.41,49.16,54.95,58.08,61.58,63.97,65.65,67.19,69.55,72.1]"
49,female,80.73,11,regular,4,4,42,4.65,"[0,0.62,1.33,2.25,3.24,4.38,5.67,8.46,10.51,11.34,12.53,14.79,16.59,18.07,19.68,22.36,23.76,25.5,26.39,30.5,34.57,37.98,41.68,43.27,45.66,47.77,50.42,52.3,53.14,55.4,59.26,62.28,65.02,66.48,67.37,72.02,72.98,74.02,74.69,76.12,77.56,80.73]"
50,female,291.31,11,regular,5,5,103,16.45,"[0,2.92,4.03,4.62,5.2,5.96,6.49,7.11,8.31,9.66,12.47,13.44,15.83,16.66,17.9,20.19,21.24,22.91,24.11,27.31,28.25,34.94,35.04,35.16,38.41,39.71,41.28,43.32,45.06,48.99,55.08,55.9,56.45,57.59,59.63,61.85,62.84,63.48,65.72,67.86,70.76,71.83,72.61,78.61,82.59,88.51,90.8,97.96,101.32,105.43,110.44,126.89,134.18,137.17,138.57,141.54,142.82,146.41,149.23,157.8,160.38,161.85,162.74,166.98,168.76,171.7,173.89,177.07,186.46,189.85,190.88,191.98,195.19,206.96,212.11,214.1,215.04,220.16,221.4,222.45,225.28,227.56,231.1,233.09,234.7,235.85,236.45,239.13,239.81,243.54,246.9,251.89,254.47,257.74,262.22,270.12,272.04,274.97,277.84,281.63,283.9,288.09,291.31]"
51,female,375.22,11,regular,6,6,109,12.85,"[0,0.75,1.23,1.93,2.91,5.22,8.52,10.49,11.32,14.59,21.29,22.97,24.09,32.21,37.15,40.1,43.93,44.99,47.49,49.46,51.95,53.6,54.24,55.46,58.33,61.22,62.43,69.53,74.78,75.87,79.12,80.53,83.85,93.61,95.52,97.44,98.2,101.21,102.35,105.4,107.14,108.21,112.59,115.5,117.11,118.74,119.65,120.5,121.62,123.23,124.16,132.9,134.3,141.67,148.44,149.63,150.79,157.99,165.53,170.67,171.76,175.47,182.22,187.09,191.63,193.52,196.47,198.12,200.04,202.17,205.07,210.47,213.04,214.6,216.33,221.2,223.93,228.5,230.34,231.11,231.98,232.66,233.95,235.82,238.08,241.04,248.36,256.96,258.84,264.3,272.78,284.21,292.72,299.79,306.62,310.02,315.88,328.73,333.7,339.08,343.58,345.01,347.18,355.72,359.2,361.56,366.31,368.53,375.22]"
52,female,1078.01,11,regular,10,10,366,14.84,"[0,4.23,7.57,12.73,16.5,16.98,17.14,17.69,18.15,18.78,19.5,20.12,20.7,22.53,23.8,24.64,26.14,29.46,30.02,32.12,33.79,37.91,41.03,42.04,43.78,44.46,45.51,47.06,47.77,48.4,49.1,51.1,58.54,59.34,60.17,63.2,63.72,65.46,68.99,75.45,76.09,78.63,80.7,82.7,90.55,91.55,94.75,96.46,98.5,99.23,101.9,103.38,103.78,104.31,105.13,106.08,106.77,107.41,108.07,110.76,115.01,117.83,125.47,126.92,129.09,140.23,142.72,148.66,151.72,154.17,156.75,162.31,163.59,164.55,168.31,174.79,175.82,178.35,181.22,181.96,183.93,185.48,186.55,189.24,192.34,197,201.63,203.25,205.4,211.46,220.44,221.03,221.92,226.86,227.76,229.48,232.45,241.29,241.97,243.96,255.78,258.26,260.73,263.24,264.57,265.39,266.86,269.87,276.15,279.8,284.48,289.69,292.52,300.61,309.51,310.08,311.37,314.31,315.04,316.93,324.23,324.91,327.2,330.03,336.49,343.28,344.06,344.92,347.63,350.28,353.94,356.68,357.46,358.53,359.98,362.25,368.04,369.13,370.86,371.96,375.22,381.2,383.55,385.48,386.25,388.4,393.5,408.34,413.34,415.88,417.15,420.3,429.82,431.73,439.15,442.71,445.26,447.33,448.46,449.37,454.99,466.83,472.04,472.83,474.06,475.34,476.79,478,479.06,479.91,480.42,480.95,481.47,481.98,483.19,484.2,486.5,488.34,490.42,497.59,499.39,502.12,503.8,506.32,508.28,510.39,512.13,513.34,517.13,521.32,525.41,526.57,529.95,531.3,532.22,535.2,540.64,542.91,544.97,545.55,546.01,546.89,550.2,550.22,552.03,557.85,564.58,565.96,574.37,577.05,588.99,594.32,595.51,596.31,598.01,599.36,602.55,604.67,605.78,610.16,612.1,615.23,619.67,623.8,624.45,625.02,625.56,626.13,630.07,634.84,637.48,638.38,643.87,648.74,651.34,652.03,652.68,653.38,654.07,654.61,655.26,656.22,656.81,657.3,657.77,658.08,658.37,658.62,658.89,659.23,659.9,660.63,662.16,663.04,663.99,665.54,670.49,671.76,672.29,672.86,673.35,673.74,674.44,676.39,677.79,679.45,681.75,682.7,686.19,688.04,688.54,690.79,693.19,695.88,701.15,703.94,707.47,714.41,716.06,720.84,724.85,726,727.59,729.41,731.56,735.99,739.89,745.71,757.05,763.21,765.08,767.15,771.01,774.71,777.26,781.81,787.08,791.1,794.28,795.68,797.47,798.6,805.68,807.5,815.29,817.74,820.07,824.75,827.36,828.48,830.87,834.68,839.22,848.56,852.79,858.97,864.23,865.85,867.35,873.37,888.21,891.73,899.29,901.49,903.4,907.02,910.16,914.68,920.89,927.43,930.09,934.44,937.6,944.96,948.03,954.49,964.46,968.29,971.05,973.67,979.04,982.26,984.78,985.98,991.36,1001.06,1002.46,1003.35,1004.18,1005.31,1007.25,1009.66,1012.47,1013.31,1016.47,1021.91,1024.56,1025.73,1029.15,1035.67,1041.13,1044.53,1050.89,1055.69,1063.9,1078.01]"
53,female,86.94,11,star,3,3,27,8.79,"[0,1.12,4.12,10.54,13.93,14.92,15.66,18.42,20.62,23,26.76,28.1,29.68,31.75,32.71,35.78,41.76,46.93,48.58,54.97,59.57,63.09,64.48,67.05,75.76,84.55,86.94]"
